id;user_id;quiz_id;result;analysis;created_at;updated_at
110;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
111;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
112;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
113;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
114;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
115;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
116;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
117;90;1;3;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 00:47;09/10/2024 00:47
118;91;1;9;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:35;09/10/2024 01:35
119;91;2;5;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:36;09/10/2024 01:36
120;93;1;24;It may be tough now, but remember, this too shall pass. You can get through this.;09/10/2024 01:41;09/10/2024 01:41
121;96;1;9;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:41;09/10/2024 01:41
122;93;1;24;It may be tough now, but remember, this too shall pass. You can get through this.;09/10/2024 01:41;09/10/2024 01:41
123;98;1;7;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:41;09/10/2024 01:41
124;101;1;12;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:42;09/10/2024 01:42
125;94;1;2;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:42;09/10/2024 01:42
126;98;2;2;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:42;09/10/2024 01:42
127;93;1;6;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:42;09/10/2024 01:42
128;100;1;9;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:42;09/10/2024 01:42
129;96;1;8;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:42;09/10/2024 01:42
130;94;2;2;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:42;09/10/2024 01:42
131;101;2;12;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:42;09/10/2024 01:42
132;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
133;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
134;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
135;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
136;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
137;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
138;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
139;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
140;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
141;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
142;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
143;96;2;9;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:43;09/10/2024 01:43
144;92;1;17;It may be tough now, but remember, this too shall pass. You can get through this.;09/10/2024 01:46;09/10/2024 01:46
145;103;1;7;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:47;09/10/2024 01:47
146;103;1;7;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:47;09/10/2024 01:47
147;103;1;7;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:47;09/10/2024 01:47
148;90;1;0;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:47;09/10/2024 01:47
149;106;1;12;You've done an amazing job! Don't forget to recharge your batteries!;09/10/2024 01:49;09/10/2024 01:49
150;106;2;6;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:51;09/10/2024 01:51
151;92;2;10;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:51;09/10/2024 01:51
152;109;1;20;It may be tough now, but remember, this too shall pass. You can get through this.;09/10/2024 01:52;09/10/2024 01:52
153;103;2;0;I'm so proud of everything you've done. Keep up the good work, but remember to take breaks when you need them!;09/10/2024 01:52;09/10/2024 01:52
154;109;2;21;It may be tough now, but remember, this too shall pass. Keep your head up. Better days are ahead. If you need someone to talk to, please reach out to [Counseling Buddy] or [Counseling Center SA].;09/10/2024 01:53;09/10/2024 01:53
